date,sessions,checkouts_initiated,orders_completed,completion_rate,device,friction_anomaly_flag
2010-12-01,3200,510,249,0.49,mobile,NO
2010-12-02,3200,510,249,0.49,mobile,NO
2010-12-03,3200,510,249,0.49,mobile,NO
2010-12-05,3200,510,249,0.49,mobile,NO
2010-12-06,3200,510,249,0.49,mobile,NO
2010-12-07,3200,510,249,0.49,mobile,NO
2010-12-08,3200,510,249,0.49,mobile,NO
2010-12-09,3200,510,249,0.49,mobile,NO
2010-12-10,3200,510,249,0.49,mobile,NO
2010-12-12,3200,510,249,0.49,mobile,NO
2010-12-13,3200,510,249,0.49,mobile,NO
2010-12-14,3200,510,249,0.49,mobile,NO
2010-12-15,3200,510,249,0.49,mobile,NO
2010-12-16,3200,510,249,0.49,mobile,NO
2010-12-17,3200,510,249,0.49,mobile,NO
2010-12-19,3200,510,249,0.49,mobile,NO
2010-12-20,3200,510,249,0.49,mobile,NO
2010-12-21,3200,510,249,0.49,mobile,NO
2010-12-22,3200,510,249,0.49,mobile,NO
2010-12-23,3200,510,249,0.49,mobile,NO
2011-01-04,3200,510,249,0.49,mobile,NO
2011-01-05,3200,510,249,0.49,mobile,NO
2011-01-06,3200,510,249,0.49,mobile,NO
2011-01-07,3200,510,249,0.49,mobile,NO
2011-01-09,3200,510,249,0.49,mobile,NO
2011-01-10,3200,510,249,0.49,mobile,NO
2011-01-11,3200,510,249,0.49,mobile,NO
2011-01-12,3200,510,249,0.49,mobile,NO
2011-01-13,3200,510,249,0.49,mobile,NO
2011-01-14,3200,510,249,0.49,mobile,NO
2011-01-16,3200,510,249,0.49,mobile,NO
2011-01-17,3200,510,249,0.49,mobile,NO
2011-01-18,3200,510,249,0.49,mobile,NO
2011-01-19,3200,510,249,0.49,mobile,NO
2011-01-20,3200,510,249,0.49,mobile,NO
2011-01-21,3200,510,249,0.49,mobile,NO
2011-01-23,3200,510,249,0.49,mobile,NO
2011-01-24,3200,510,249,0.49,mobile,NO
2011-01-25,3200,510,249,0.49,mobile,NO
2011-01-26,3200,510,249,0.49,mobile,NO
2011-01-27,3200,510,249,0.49,mobile,NO
2011-01-28,3200,510,249,0.49,mobile,NO
2011-01-30,3200,510,249,0.49,mobile,NO
2011-01-31,3200,510,249,0.49,mobile,NO
2011-02-01,3200,510,249,0.49,mobile,NO
2011-02-02,3200,510,249,0.49,mobile,NO
2011-02-03,3200,510,249,0.49,mobile,NO
2011-02-04,3200,510,249,0.49,mobile,NO
2011-02-06,3200,510,249,0.49,mobile,NO
2011-02-07,3200,510,249,0.49,mobile,NO
2011-02-08,3200,510,249,0.49,mobile,NO
2011-02-09,3200,510,249,0.49,mobile,NO
2011-02-10,3200,510,249,0.49,mobile,NO
2011-02-11,3200,510,249,0.49,mobile,NO
2011-02-13,3200,510,249,0.49,mobile,NO
2011-02-14,3200,510,249,0.49,mobile,NO
2011-02-15,3200,510,249,0.49,mobile,NO
2011-02-16,3200,510,249,0.49,mobile,NO
2011-02-17,3200,510,249,0.49,mobile,NO
2011-02-18,3200,510,249,0.49,mobile,NO
2011-02-20,3200,510,249,0.49,mobile,NO
2011-02-21,3200,510,249,0.49,mobile,NO
2011-02-22,3200,510,249,0.49,mobile,NO
2011-02-23,3200,510,249,0.49,mobile,NO
2011-02-24,3200,510,249,0.49,mobile,NO
2011-02-25,3200,510,193,0.38,mobile,YES
2011-02-27,3200,510,193,0.38,mobile,YES
2011-02-28,3200,510,193,0.38,mobile,YES
2011-03-01,3200,510,193,0.38,mobile,YES
2011-03-02,3200,510,193,0.38,mobile,YES
2011-03-03,3200,510,193,0.38,mobile,YES
2011-03-04,3200,510,193,0.38,mobile,YES
2011-03-06,3200,510,193,0.38,mobile,YES
2011-03-07,3200,510,193,0.38,mobile,YES
2011-03-08,3200,510,193,0.38,mobile,YES
2011-03-09,3200,510,193,0.38,mobile,YES
2011-03-10,3200,510,249,0.49,mobile,NO
2011-03-11,3200,510,249,0.49,mobile,NO
2011-03-13,3200,510,249,0.49,mobile,NO
2011-03-14,3200,510,249,0.49,mobile,NO
2011-03-15,3200,510,249,0.49,mobile,NO
2011-03-16,3200,510,249,0.49,mobile,NO
2011-03-17,3200,510,249,0.49,mobile,NO
2011-03-18,3200,510,249,0.49,mobile,NO
2011-03-20,3200,510,249,0.49,mobile,NO
2011-03-21,3200,510,249,0.49,mobile,NO
2011-03-22,3200,510,249,0.49,mobile,NO
2011-03-23,3200,510,249,0.49,mobile,NO
2011-03-24,3200,510,249,0.49,mobile,NO
2011-03-25,3200,510,249,0.49,mobile,NO
